TT,ID,As,Fe,Mn,pH,Hardness,Coliforms,EC,X,Y,YLat,XLong,X-WGS84,Y-WGS84,Iddist
503,NN_CJ1,1.013,0.019,0.001,6.1,110,90,260,428909.1094,1404489.307,12.6991,107.8472,1405938.182,157543.0237,CJ
41,NN_CJ10,0.918,0.1908,0.012,6.6,95,0.1,220,423703.9582,1401912.387,12.6757,107.7994,1403408.528,152307.598,CJ
243,NN_CJ100,1.67,0.036,0.002,8.3,17,0.1,410,425727.2163,1394479.819,12.6085,107.8182,1395948.623,154261.8797,CJ
251,NN_CJ102,1.22,0.0007,0.001,8.4,40,0.1,290,427227.3516,1395732.76,12.6199,107.8318,1397188.565,155763.6065,CJ
119,NN_CJ103,1.66,0.0094,0.01,6.9,106,150,460,425609.4002,1396747.922,12.629,107.817,1398220.27,154165.6089,CJ
210,NN_CJ104,1.961,0.0007,0.009,7.6,264,200,750,424846.4418,1396952.738,12.6309,107.81,1398432.601,153403.7936,CJ
237,NN_CJ105,1.86,0.106,0.004,8.3,88,70,500,424741.6254,1397257.232,12.6336,107.809,1398738.424,153298.8648,CJ
174,NN_CJ106,1.609,0.0131,0.01,7.9,150,40,410,424828.5901,1398191.165,12.6421,107.8098,1399672.526,153397.772,CJ
19,NN_CJ107,1.879,0.0007,0.006,7.3,157,40,500,425612.4742,1396769.424,12.6292,107.817,1398241.766,154168.8918,CJ
521,NN_CJ108,0.44,0.0205,0.003,5.9,5,2000,320,429051.3822,1404679.469,12.7008,107.8485,1406127.175,157687.2732,CJ
175,NN_CJ109,2.11,0.0334,0.099,7.4,225,20,620,420554.8252,1393584.177,12.6003,107.7706,1395101.378,149075.3363,CJ
142,NN_CJ11,1.766,0.0007,0.001,8.6,162,40,460,423613.4,1401897.266,12.6755,107.7985,1403394.259,152216.797,CJ
180,NN_CJ110,2.146,0.1405,0.023,7.2,175,0.1,620,420586.033,1393952.841,12.6036,107.7709,1395470.15,149110.0966,CJ
223,NN_CJ111,2.188,0.0486,0.011,7.2,178,23,760,420716.4769,1394192.166,12.6058,107.772,1395708.493,149242.9684,CJ
185,NN_CJ112,1.988,1.0293,0.299,6.7,199,40,930,420741.7915,1394613.086,12.6096,107.7722,1396129.634,149268.3108,CJ
130,NN_CJ113,1.718,0.1909,0.135,7.2,141,40,1070,420634.4505,1393998.8,12.6041,107.7713,1395515.698,149159.006,CJ
197,NN_CJ114,1.94,0.0272,0.002,7.3,169,0.1,510,426133.6121,1403368.657,12.6889,107.8217,1404843.026,154753.8354,CJ
123,NN_CJ115,1.887,0.0096,0.009,8.1,129,20,493,425907.6063,1403473.726,12.6898,107.8196,1404950.378,154527.5894,CJ
169,NN_CJ116,1.698,0.0084,0.007,7.8,83,0.1,421,426070.2139,1403353.458,12.6888,107.8211,1404828.42,154690.2238,CJ
136,NN_CJ117,1.737,0.0137,0.001,7.1,183,90,470,426230.1898,1403380.697,12.689,107.8226,1404854.151,154850.6313,CJ
285,NN_CJ118,2.081,0.0096,0.005,6.9,213,40,610,426393.2144,1403420.22,12.6894,107.8241,1404892.15,155014.2085,CJ
